,epiweek,modelweek,region,fips,jhucsse__numnewpos,covidtracker__numnewpos,covidtracker__numnewneg,covidtracker__numnewtest,cdcili__num_patients,cdcili__num_providers,cdcili__wili,cdcili__ili,dohweb__numnewpos
1173,201840,2543,pa,,,,,,59432.0,142.0,0.9018709999999999,0.9018709999999999,
1174,201841,2544,pa,,,,,,60911.0,141.0,1.0490700000000002,1.0490700000000002,
1175,201842,2545,pa,,,,,,56659.0,140.0,1.0766200000000001,1.0766200000000001,
1176,201843,2546,pa,,,,,,57069.0,140.0,1.14248,1.14248,
1177,201844,2547,pa,,,,,,56211.0,139.0,1.20261,1.20261,
1178,201845,2548,pa,,,,,,55269.0,140.0,1.3226200000000001,1.3226200000000001,
1179,201846,2549,pa,,,,,,48727.0,131.0,1.38527,1.38527,
1180,201847,2550,pa,,,,,,41348.0,139.0,1.60346,1.60346,
1181,201848,2551,pa,,,,,,75182.0,140.0,1.4285299999999999,1.4285299999999999,
1182,201849,2552,pa,,,,,,53263.0,138.0,1.52263,1.52263,
1183,201850,2553,pa,,,,,,50612.0,135.0,1.89283,1.89283,
1184,201851,2554,pa,,,,,,50854.0,132.0,2.14732,2.14732,
1185,201852,2555,pa,,,,,,47791.0,134.0,3.0173,3.0173,
1186,201901,2556,pa,,,,,,51664.0,134.0,2.85305,2.85305,
1187,201902,2557,pa,,,,,,52397.0,135.0,2.40853,2.40853,
1188,201903,2558,pa,,,,,,54563.0,139.0,2.4155599999999997,2.4155599999999997,
1189,201904,2559,pa,,,,,,53653.0,140.0,2.88148,2.88148,
1190,201905,2560,pa,,,,,,45353.0,141.0,2.89507,2.89507,
1191,201906,2561,pa,,,,,,59549.0,141.0,2.9605900000000003,2.9605900000000003,
1192,201907,2562,pa,,,,,,54918.0,142.0,3.3540900000000002,3.3540900000000002,
1193,201908,2563,pa,,,,,,52547.0,135.0,3.2371,3.2371,
1194,201909,2564,pa,,,,,,56211.0,140.0,3.12216,3.12216,
1195,201910,2565,pa,,,,,,52497.0,137.0,3.23066,3.23066,
1196,201911,2566,pa,,,,,,56775.0,137.0,3.2250099999999997,3.2250099999999997,
1197,201912,2567,pa,,,,,,76131.0,139.0,2.75972,2.75972,
1198,201913,2568,pa,,,,,,57433.0,136.0,2.7371,2.7371,
1199,201914,2569,pa,,,,,,55624.0,139.0,2.2652099999999997,2.2652099999999997,
1200,201915,2570,pa,,,,,,57152.0,138.0,1.84945,1.84945,
1201,201916,2571,pa,,,,,,52034.0,137.0,1.4375200000000001,1.4375200000000001,
1202,201917,2572,pa,,,,,,53409.0,137.0,1.1440000000000001,1.1440000000000001,
1203,201918,2573,pa,,,,,,53189.0,134.0,1.06413,1.06413,
1204,201919,2574,pa,,,,,,48896.0,128.0,0.946908,0.946908,
1205,201920,2575,pa,,,,,,5436.0,47.0,0.6990430000000001,0.6990430000000001,
1206,201921,2576,pa,,,,,,48659.0,106.0,0.8980870000000001,0.8980870000000001,
1207,201922,2577,pa,,,,,,49761.0,109.0,0.9525530000000001,0.9525530000000001,
1208,201923,2578,pa,,,,,,49035.0,126.0,0.7973899999999999,0.7973899999999999,
1209,201924,2579,pa,,,,,,46864.0,127.0,0.6849609999999999,0.6849609999999999,
1210,201925,2580,pa,,,,,,47362.0,124.0,0.690427,0.690427,
1211,201926,2581,pa,,,,,,45849.0,101.0,0.5801649999999999,0.5801649999999999,
1212,201927,2582,pa,,,,,,45759.0,125.0,0.487336,0.487336,
1213,201928,2583,pa,,,,,,48268.0,124.0,0.482721,0.482721,
1214,201929,2584,pa,,,,,,48713.0,125.0,0.44136099999999995,0.44136099999999995,
1215,201930,2585,pa,,,,,,47897.0,124.0,0.498987,0.498987,
1216,201931,2586,pa,,,,,,46313.0,124.0,0.475029,0.475029,
1217,201932,2587,pa,,,,,,47231.0,123.0,0.436154,0.436154,
1218,201933,2588,pa,,,,,,45564.0,122.0,0.471864,0.471864,
1219,201934,2589,pa,,,,,,46867.0,122.0,0.49075,0.49075,
1220,201935,2590,pa,,,,,,48673.0,124.0,0.48897700000000005,0.48897700000000005,
1221,201936,2591,pa,,,,,,63599.0,122.0,0.687118,0.687118,
1222,201937,2592,pa,,,,,,53638.0,122.0,0.771841,0.771841,
