geo_value,time_value,value,stderr,sample_size
42001,20200201,0.0,,
42001,20200202,0.0,,
42001,20200203,0.0,,
42001,20200204,0.0,,
42001,20200205,0.0,,
42001,20200206,0.0,,
42001,20200207,0.0,,
42001,20200208,0.0,,
42001,20200209,0.0,,
42001,20200210,0.0,,
42001,20200211,0.0,,
42001,20200212,0.0,,
42001,20200213,0.0,,
42001,20200214,0.0,,
42001,20200215,0.0,,
42001,20200216,0.0,,
42001,20200217,0.0,,
42001,20200218,0.0,,
42001,20200219,0.0,,
42001,20200220,0.0,,
42001,20200221,0.0,,
42001,20200222,0.0,,
42001,20200223,0.0,,
42001,20200224,0.0,,
42001,20200225,0.0,,
42001,20200226,0.0,,
42001,20200227,0.0,,
42001,20200228,0.0,,
42001,20200229,0.0,,
42001,20200301,0.0,,
42001,20200302,0.0,,
42001,20200303,0.0,,
42001,20200304,0.0,,
42001,20200305,0.0,,
42001,20200306,0.0,,
42001,20200307,0.0,,
42001,20200308,0.0,,
42001,20200309,0.0,,
42001,20200310,0.0,,
42001,20200311,0.0,,
42001,20200312,0.0,,
42001,20200313,0.0,,
42001,20200314,0.0,,
42001,20200315,0.070156,,
42001,20200316,0.288749,,
42001,20200317,0.688288,,
42001,20200318,1.139665,,
42001,20200319,1.38955,,
42001,20200320,1.341818,,
42001,20200321,1.175773,,
42001,20200322,0.996105,,
42001,20200323,0.818032,,
42001,20200324,0.646749,,
42001,20200325,0.542315,,
42001,20200326,0.613371,,
42001,20200327,0.717339,,
42001,20200328,0.851662,,
42001,20200329,1.031347,,
42001,20200330,1.254772,,
42001,20200331,1.290803,,
42001,20200401,1.271656,,
42001,20200402,1.385574,,
42001,20200403,1.471137,,
42001,20200404,1.720983,,
42001,20200405,1.896844,,
42001,20200406,2.009392,,
42001,20200407,2.341187,,
42001,20200408,2.828314,,
42001,20200409,3.369989,,
42001,20200410,3.46586,,
42001,20200411,3.331182,,
42001,20200412,3.189793,,
42001,20200413,3.011416,,
42001,20200414,2.748109,,
42001,20200415,2.254591,,
42001,20200416,1.968192,,
42001,20200417,1.879612,,
42001,20200418,1.798368,,
42001,20200419,1.853744,,
42001,20200420,1.965414,,
42001,20200421,1.847412,,
42001,20200422,2.256015,,
42001,20200423,2.476492,,
42001,20200424,2.857953,,
42001,20200425,2.817745,,
42001,20200426,2.794927,,
42001,20200427,2.762216,,
42001,20200428,2.964589,,
42001,20200429,2.995382,,
42001,20200430,2.547943,,
42001,20200501,2.14069,,
42001,20200502,1.731569,,
42001,20200503,1.457019,,
42001,20200504,1.26903,,
42001,20200505,1.107482,,
42001,20200506,0.954372,,
42001,20200507,0.881177,,
42001,20200508,0.879422,,
42001,20200509,0.824915,,
42001,20200510,1.056557,,
42001,20200511,1.183021,,
42001,20200512,2.567649,,
42001,20200513,2.58847,,
42001,20200514,2.850641,,
42001,20200515,2.599759,,
42001,20200516,2.285447,,
42001,20200517,2.114659,,
42001,20200518,1.931511,,
42001,20200519,1.674507,,
42001,20200520,1.416964,,
42001,20200521,1.183022,,
42001,20200522,1.184495,,
42001,20200523,1.178166,,
42001,20200524,1.321451,,
42001,20200525,1.425734,,
42001,20200526,1.499919,,
42001,20200527,1.539882,,
42001,20200528,1.339884,,
42001,20200529,1.370607,,
42001,20200530,1.645443,,
42001,20200531,2.024877,,
42001,20200601,2.326214,,
42001,20200602,1.932931,,
42001,20200603,1.562627,,
42001,20200604,1.355142,,
42001,20200605,1.231321,,
42001,20200606,1.318826,,
42001,20200607,1.373011,,
42001,20200608,1.420039,,
42001,20200609,1.37526,,
42001,20200610,1.266353,,
42001,20200611,1.252117,,
42003,20200201,0.29073,,
42003,20200202,0.139141,,
42003,20200203,0.088731,,
42003,20200204,0.088731,,
42003,20200205,0.088731,,
42003,20200206,0.088731,,
42003,20200207,0.088731,,
42003,20200208,0.088731,,
42003,20200209,0.088731,,
42003,20200210,0.088731,,
42003,20200211,0.144814,,
42003,20200212,0.222744,,
42003,20200213,0.31479,,
42003,20200214,0.339624,,
42003,20200215,0.334886,,
42003,20200216,0.319879,,
42003,20200217,0.27505,,
42003,20200218,0.22733,,
42003,20200219,0.146192,,
42003,20200220,0.179005,,
42003,20200221,0.097052,,
42003,20200222,0.088731,,
42003,20200223,0.088731,,
42003,20200224,0.088731,,
42003,20200225,0.088731,,
42003,20200226,0.088731,,
42003,20200227,0.088731,,
42003,20200228,0.088731,,
42003,20200229,0.088731,,
42003,20200301,0.088731,,
42003,20200302,0.088731,,
42003,20200303,0.088731,,
42003,20200304,0.111993,,
42003,20200305,0.225808,,
42003,20200306,0.260796,,
42003,20200307,0.321508,,
42003,20200308,0.670705,,
42003,20200309,0.743666,,
42003,20200310,0.736511,,
42003,20200311,0.666535,,
42003,20200312,0.544727,,
42003,20200313,0.512628,,
42003,20200314,0.508251,,
42003,20200315,0.593914,,
42003,20200316,0.543218,,
42003,20200317,0.518609,,
42003,20200318,0.684442,,
42003,20200319,0.821558,,
42003,20200320,1.175413,,
42003,20200321,1.546629,,
42003,20200322,1.881029,,
42003,20200323,2.12068,,
42003,20200324,2.057674,,
42003,20200325,2.223254,,
42003,20200326,2.025642,,
42003,20200327,2.01687,,
42003,20200328,2.180976,,
42003,20200329,2.365048,,
42003,20200330,2.46663,,
42003,20200331,2.323104,,
42003,20200401,2.200929,,
42003,20200402,2.089728,,
42003,20200403,2.012747,,
42003,20200404,2.096575,,
42003,20200405,2.439203,,
42003,20200406,2.806,,
42003,20200407,2.829317,,
42003,20200408,2.475463,,
42003,20200409,2.098399,,
42003,20200410,2.044621,,
42003,20200411,1.893936,,
42003,20200412,1.846237,,
42003,20200413,1.776972,,
42003,20200414,1.527607,,
42003,20200415,1.328127,,
42003,20200416,1.036654,,
42003,20200417,0.946626,,
42003,20200418,0.972302,,
42003,20200419,1.10366,,
42003,20200420,1.513427,,
42003,20200421,1.916593,,
42003,20200422,2.585989,,
42003,20200423,2.323146,,
42003,20200424,2.274103,,
42003,20200425,2.186949,,
42003,20200426,2.205366,,
42003,20200427,2.319963,,
42003,20200428,2.034783,,
42003,20200429,1.763409,,
42003,20200430,1.651718,,
42003,20200501,1.353298,,
42003,20200502,1.209976,,
42003,20200503,1.134291,,
42003,20200504,1.013191,,
42003,20200505,0.873828,,
42003,20200506,1.04298,,
42003,20200507,1.029389,,
42003,20200508,1.295969,,
42003,20200509,1.140669,,
42003,20200510,1.222707,,
42003,20200511,1.004079,,
42003,20200512,0.903071,,
42003,20200513,0.832853,,
42003,20200514,0.74043,,
42003,20200515,0.736319,,
42003,20200516,0.564151,,
42003,20200517,0.500263,,
42003,20200518,1.082597,,
42003,20200519,1.037889,,
42003,20200520,1.057257,,
42003,20200521,1.045084,,
42003,20200522,0.993911,,
42003,20200523,0.980252,,
42003,20200524,1.202652,,
42003,20200525,1.372631,,
42003,20200526,1.308138,,
42003,20200527,1.120929,,
42003,20200528,1.007037,,
42003,20200529,0.861946,,
42003,20200530,0.78073,,
42003,20200531,1.141018,,
42003,20200601,1.242546,,
42003,20200602,1.167424,,
42003,20200603,1.301133,,
42003,20200604,1.111924,,
42003,20200605,1.087299,,
42003,20200606,1.14136,,
42003,20200607,1.18949,,
42003,20200608,1.310059,,
42003,20200609,1.14843,,
42003,20200610,0.980755,,
42003,20200611,0.89492,,
42005,20200201,0.334525,,
42005,20200202,0.434439,,
42005,20200203,0.578356,,
42005,20200204,0.691124,,
42005,20200205,0.670421,,
42005,20200206,0.647075,,
42005,20200207,0.570801,,
42005,20200208,0.595306,,
42005,20200209,0.607523,,
42005,20200210,0.610305,,
42005,20200211,0.673544,,
42005,20200212,0.743914,,
42005,20200213,0.87291,,
42005,20200214,0.983134,,
42005,20200215,1.04781,,
42005,20200216,1.014238,,
42005,20200217,0.975949,,
42005,20200218,0.936507,,
42005,20200219,0.80141,,
42005,20200220,0.640191,,
42005,20200221,0.645689,,
42005,20200222,0.76128,,
42005,20200223,0.853748,,
42005,20200224,0.933831,,
42005,20200225,0.976651,,
42005,20200226,1.077963,,
42005,20200227,1.124888,,
42005,20200228,1.21131,,
42005,20200229,1.089163,,
42005,20200301,0.868458,,
42005,20200302,0.676915,,
42005,20200303,0.543235,,
42005,20200304,0.477032,,
42005,20200305,0.379522,,
42005,20200306,0.303068,,
42005,20200307,0.280569,,
42005,20200308,0.27045,,
42005,20200309,0.240577,,
42005,20200310,0.169519,,
42005,20200311,0.153869,,
42005,20200312,0.16504,,
42005,20200313,0.135758,,
42005,20200314,0.208927,,
42005,20200315,0.266123,,
42005,20200316,0.313558,,
42005,20200317,0.368708,,
42005,20200318,0.419957,,
42005,20200319,0.444898,,
42005,20200320,0.481991,,
42005,20200321,0.518418,,
42005,20200322,0.444726,,
42005,20200323,0.387197,,
42005,20200324,0.392638,,
42005,20200325,0.41312,,
42005,20200326,0.369839,,
42005,20200327,0.421499,,
42005,20200328,0.482853,,
42005,20200329,0.576535,,
42005,20200330,0.653401,,
42005,20200331,0.764089,,
42005,20200401,0.773516,,
42005,20200402,0.723099,,
42005,20200403,0.661253,,
42005,20200404,0.651861,,
42005,20200405,0.755277,,
42005,20200406,0.839768,,
42005,20200407,0.885867,,
42005,20200408,1.010805,,
42005,20200409,1.131687,,
42005,20200410,1.575892,,
42005,20200411,1.999366,,
42005,20200412,2.317308,,
42005,20200413,2.45884,,
42005,20200414,2.55613,,
42005,20200415,2.6199,,
42005,20200416,2.461633,,
42005,20200417,2.375452,,
42005,20200418,1.925471,,
42005,20200419,1.543783,,
42005,20200420,1.217436,,
42005,20200421,0.916574,,
42005,20200422,0.604713,,
42005,20200423,0.62611,,
42005,20200424,0.659882,,
42005,20200425,0.850794,,
42005,20200426,1.079948,,
42005,20200427,1.297856,,
42005,20200428,1.413651,,
42005,20200429,1.508524,,
42005,20200430,1.583187,,
42005,20200501,1.356785,,
42005,20200502,1.192665,,
42005,20200503,0.903513,,
42005,20200504,0.649144,,
42005,20200505,0.489688,,
42005,20200506,0.354899,,
42005,20200507,0.307806,,
42005,20200508,0.194595,,
42005,20200509,0.111189,,
42005,20200510,0.055801,,
42005,20200511,0.019446,,
42005,20200512,0.165363,,
42005,20200513,0.401616,,
42005,20200514,0.850012,,
42005,20200515,1.148614,,
42005,20200516,1.064808,,
42005,20200517,1.02439,,
42005,20200518,1.09005,,
42005,20200519,1.16162,,
42005,20200520,0.893529,,
42005,20200521,0.734137,,
42005,20200522,0.764662,,
42005,20200523,0.866387,,
42005,20200524,0.936723,,
42005,20200525,1.143289,,
42005,20200526,1.306955,,
42005,20200527,1.285523,,
42005,20200528,1.099719,,
42005,20200529,0.928421,,
42005,20200530,0.792895,,
42005,20200531,0.667737,,
42005,20200601,0.558608,,
42005,20200602,0.450321,,
42005,20200603,0.352842,,
42005,20200604,0.250288,,
42005,20200605,0.180538,,
42005,20200606,0.129568,,
42005,20200607,0.096424,,
42005,20200608,0.078068,,
42005,20200609,0.066423,,
42005,20200610,0.020702,,
42005,20200611,0.0,,
42007,20200201,0.031897,,
42007,20200202,0.0,,
42007,20200203,0.0,,
42007,20200204,0.0,,
42007,20200205,0.0,,
42007,20200206,0.0,,
42007,20200207,0.0,,
42007,20200208,0.072385,,
42007,20200209,0.126359,,
42007,20200210,0.242115,,
42007,20200211,0.267315,,
42007,20200212,0.290155,,
42007,20200213,0.147858,,
42007,20200214,0.018128,,
42007,20200215,0.0,,
42007,20200216,0.0,,
42007,20200217,0.0,,
