geo_value,time_value,value,stderr,sample_size
42003,20200406,0.7614984,0.3826746,434.8891
42003,20200407,0.3558909,0.13421,1426.4021
42003,20200408,0.9653235,0.2533406,1186.4144
42003,20200409,0.243038,0.1179339,987.355
42003,20200410,0.6735921,0.3389999,504.0232
42003,20200411,0.0,0.4592222,106.1619
42003,20200413,0.4467277,0.2920391,437.9485
42003,20200414,0.4562798,0.3445634,350.635
42003,20200415,0.0419628,0.2466968,197.4795
42003,20200416,0.2055183,0.2860655,242.1989
42003,20200417,1.7670193,0.91131,163.1419
42003,20200418,0.0,0.3205766,150.3294
42003,20200419,0.174721,0.3075913,189.4171
42003,20200420,0.4793446,0.5289588,207.1145
42003,20200421,0.2392112,0.3141959,220.3346
42003,20200422,0.0,0.1917309,253.7595
42003,20200423,1.2350333,0.7488234,214.6186
42003,20200424,0.5292516,0.427265,281.9314
42003,20200425,0.4427439,0.2871218,374.1901
42003,20200426,0.5955289,0.3384289,396.7017
42003,20200427,1.5023687,0.6302459,340.1352
42003,20200428,0.0882979,0.1392675,450.3631
42003,20200429,0.0255552,0.1570112,311.2483
42003,20200430,0.1897487,0.1599445,462.0074
42003,20200501,0.0099305,0.1613247,300.4903
42003,20200502,0.3022225,0.3349648,328.8055
42003,20200503,0.3099787,0.3071501,358.9614
42003,20200504,0.0,0.1364798,356.5673
42003,20200505,0.1312597,0.1861996,364.3085
42003,20200506,0.7836603,0.4424355,359.3165
42003,20200507,0.0,0.1585654,307.414
42003,20200508,1.0779831,0.9803837,112.2609
42003,20200509,0.3849037,0.4258524,258.2245
42003,20200510,0.0,0.1823656,264.8302
42003,20200511,0.0,0.1527602,318.4554
42003,20200512,0.4468051,0.3670143,259.5403
42003,20200513,0.0,0.2028266,239.6802
42003,20200514,0.9809684,0.5831092,304.0032
42003,20200515,0.0,0.1383083,351.4923
42003,20200516,0.0268981,0.1656557,297.6417
42003,20200517,0.3976711,0.2792359,337.4992
42003,20200518,0.0,0.1333731,364.918
42003,20200519,0.4458464,0.4929141,223.2556
42003,20200520,0.1215919,0.1619654,428.0638
42003,20200521,0.0855457,0.1516909,387.4458
42003,20200522,0.0,0.151676,321.1194
42003,20200523,0.313096,0.2406037,315.7324
42003,20200524,0.0,0.1318282,370.5454
42003,20200525,0.2734858,0.2597547,308.5441
42003,20200526,0.1972433,0.1950626,378.5286
42003,20200527,0.0,0.1243142,391.9685
42003,20200528,0.0,0.1260229,386.0106
42003,20200529,0.0,0.1576201,306.7906
42003,20200530,0.1853585,0.1992368,357.8919
42003,20200531,0.4846685,0.3749885,341.791
42003,20200601,0.3722268,0.3013268,400.6106
42003,20200602,0.0725601,0.1597842,342.3515
42003,20200603,0.2813455,0.2188607,353.1202
42003,20200604,0.0,0.1287898,376.0765
42003,20200605,0.1630191,0.2270729,305.0979
42003,20200606,0.0,0.1997968,243.8428
42003,20200607,0.3983485,0.3452073,333.0437
42003,20200608,0.0,0.1384438,352.1229
42003,20200609,0.1673111,0.2329093,297.0742
42003,20200610,0.3282197,0.2395925,362.9779
42003,20200611,0.3290962,0.3461771,318.0609
42003,20200612,0.2777056,0.307725,357.5645
42003,20200613,0.0,0.1661984,295.0809
