geo_value,time_value,value,stderr,sample_size
42003,20200406,0.676406,0.3775138,433.8747
42003,20200407,0.3255737,0.1257308,1411.4535
42003,20200408,0.9253452,0.2697002,1176.3447
42003,20200409,0.2463345,0.1279415,982.0562
42003,20200410,1.4510746,1.0180844,499.1294
42003,20200411,0.0,0.4318682,103.1619
42003,20200413,0.988849,0.6942461,432.9485
42003,20200414,0.2974913,0.2489401,344.631
42003,20200415,0.5030806,0.4361238,194.4795
42003,20200416,0.2253853,0.3016913,241.1989
42003,20200417,1.8565641,0.98413,162.9987
42003,20200418,0.0,0.2889276,149.3294
42003,20200419,0.1435011,0.2812994,187.4171
42003,20200420,0.3700117,0.4365474,205.1145
42003,20200421,0.0702362,0.2284874,215.9039
42003,20200422,0.0,0.2085684,253.637
42003,20200423,1.2688284,0.7600016,212.6186
42003,20200424,0.4801487,0.3979451,280.9314
42003,20200425,0.5311609,0.3863573,374.1901
42003,20200426,0.4567156,0.3297707,393.7021
42003,20200427,2.3268733,1.145845,336.1889
42003,20200428,0.0714115,0.1608238,442.3631
42003,20200429,0.0658827,0.1761692,310.1051
42003,20200430,0.1352788,0.1662803,453.8413
42003,20200501,0.3829788,0.3746075,295.544
42003,20200502,0.3977243,0.4331966,324.8055
42003,20200503,0.3882653,0.3161131,356.8743
42003,20200504,0.0964114,0.1776782,353.3019
42003,20200505,0.2842611,0.3196506,361.3079
42003,20200506,0.8155948,0.4782546,353.3317
42003,20200507,0.002524,0.1949543,303.5372
42003,20200508,0.9882507,0.9043284,111.2609
42003,20200509,0.3872438,0.3537676,256.2245
42003,20200510,0.0,0.2001179,263.8302
42003,20200511,0.0,0.1640341,315.4554
42003,20200512,0.5219929,0.4253713,257.5403
42003,20200513,0.0,0.203718,238.5437
42003,20200514,1.197216,0.7132122,302.0563
42003,20200515,0.0,0.1627149,349.4923
42003,20200516,0.0834603,0.1890148,296.6417
42003,20200517,0.3007523,0.2486061,335.5552
42003,20200518,0.0,0.1406024,361.918
42003,20200519,0.4976651,0.4971218,222.2556
42003,20200520,0.1456461,0.1578742,424.0638
42003,20200521,0.0670213,0.1724932,383.3236
42003,20200522,0.0871854,0.1932783,315.9972
42003,20200523,0.4855767,0.3237972,309.7184
42003,20200524,0.0,0.1665132,362.5493
42003,20200525,0.3842723,0.3782715,304.4216
42003,20200526,0.120592,0.1758544,369.5286
42003,20200527,0.0,0.1583161,383.5989
42003,20200528,0.0,0.148154,382.0106
42003,20200529,0.0,0.1649704,303.7906
42003,20200530,0.250917,0.2320539,356.8919
42003,20200531,0.6568846,0.491242,339.791
42003,20200601,0.5731601,0.499203,399.6066
42003,20200602,0.0816301,0.1763043,339.3519
42003,20200603,0.1767445,0.2029855,349.1806
42003,20200604,0.0,0.1516984,373.0765
42003,20200605,0.1532128,0.2341777,301.1441
42003,20200606,0.0,0.1886363,242.8428
42003,20200607,0.5078939,0.4165531,329.4342
42003,20200608,0.0,0.1688977,350.0932
42003,20200609,0.0759143,0.2138362,295.0742
42003,20200610,0.3602695,0.2539703,359.9779
42003,20200611,1.0007533,0.7525731,310.9177
42003,20200612,0.4446892,0.4744879,352.4957
42003,20200613,0.3293335,0.3853479,294.0809
42003,20200614,0.2840799,0.2641037,322.3293
42007,20200407,0.4375048,0.4864625,179.428
42007,20200408,1.249682,0.7963319,152.2714
42007,20200409,0.7238238,0.6347319,128.3558
42011,20200406,2.5288082,1.2304561,102.3419
42011,20200407,0.4841464,0.3043028,233.741
42011,20200408,0.6757982,0.35931,252.6058
42011,20200409,0.4577965,0.4933249,202.4321
42011,20200410,1.6335985,1.0051558,120.1908
42011,20200413,0.7022358,0.5127456,137.8427
42011,20200414,0.6937251,0.3428018,335.9489
42011,20200415,0.7641141,0.6938459,185.0462
42011,20200416,0.7867007,0.5984467,138.2085
42011,20200419,0.3447915,0.4847724,105.917
42011,20200420,0.0,0.3343089,108.7593
42011,20200421,0.0915585,0.3015474,131.336
42011,20200422,0.1998,0.3709026,120.6659
42011,20200423,0.0,0.3006289,124.5829
42011,20200424,1.0707051,0.7505042,127.1927
42011,20200425,0.2100228,0.3131069,176.4603
42011,20200426,0.4828752,0.3011017,202.132
42011,20200427,1.1970862,0.9130666,149.3817
42011,20200428,0.8566816,0.5277962,203.1455
42011,20200429,0.2733055,0.4003657,121.6322
42011,20200430,0.0,0.2002733,206.1946
42011,20200501,0.1138624,0.2860614,140.8351
42011,20200502,1.5950997,0.8428774,141.5271
42011,20200503,0.9590262,0.6721148,149.5059
42011,20200504,0.2523913,0.362057,138.7726
42011,20200505,0.9542669,0.6369322,165.2069
42011,20200506,1.2823133,0.9269131,180.23
42011,20200507,0.0,0.2708198,147.1099
42011,20200509,0.4729305,0.4824515,117.05
42011,20200510,0.225127,0.3271546,125.9738
42011,20200511,0.9603253,0.7393997,149.0493
42011,20200512,0.0,0.2897862,138.0137
42011,20200513,0.2052044,0.3804354,107.3734
42011,20200514,0.474107,0.4313169,160.424
42011,20200515,0.4535427,0.4403347,178.8635
42011,20200516,1.0598641,0.778915,168.5941
42011,20200517,0.0956501,0.2484853,192.0124
42011,20200518,0.0,0.2405455,170.4188
42011,20200519,0.6984756,0.627143,103.5871
42011,20200520,0.0,0.2300211,190.3202
42011,20200521,0.221344,0.3190592,161.2022
42011,20200522,1.5449687,0.8116368,188.6873
42011,20200523,0.4274016,0.4199754,199.1941
42011,20200524,0.3605268,0.4373006,156.0558
42011,20200525,0.114832,0.2698373,182.2853
42011,20200526,0.0,0.2448452,162.805
42011,20200527,0.1489207,0.2525174,172.2422
42011,20200528,0.5347864,0.4971279,185.1861
42011,20200529,0.486163,0.3561658,167.4974
42011,20200530,0.0,0.2661445,151.9657
42011,20200531,0.4985007,0.572011,124.9758
42011,20200601,0.47708,0.425748,169.4721
42011,20200602,0.0,0.2405219,159.8044
42011,20200603,0.2973902,0.3143207,168.966
42011,20200604,0.4314942,0.4906675,168.4911
42011,20200605,0.0654193,0.2748751,145.6902
42011,20200606,0.0,0.3692385,106.1239
42011,20200607,0.0744722,0.2794788,150.5085
42011,20200608,0.2284856,0.3557369,131.8831
42011,20200609,0.5557766,0.5095976,127.7029
