County,fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests
ADAMS,42001,SC,296,285,11,4138,4423
ALLEGHENY,42003,SW,2086,1953,133,41602,43555
ARMSTRONG,42005,SW,66,66,0,1579,1645
BEAVER,42007,SW,613,594,19,4918,5512
BEDFORD,42009,SC,52,47,5,1059,1106
BERKS,42011,SE,4324,4174,150,15539,19713
BLAIR,42013,SC,55,51,4,4268,4319
BRADFORD,42015,NC,47,43,4,2393,2436
BUCKS,42017,SE,5439,4934,505,27003,31937
BUTLER,42019,SW,257,230,27,4783,5013
CAMBRIA,42021,SW,61,45,16,5491,5536
CAMERON,42023,NW,2,2,0,159,161
CARBON,42025,NE,259,255,4,3328,3583
CENTRE,42027,NC,171,162,9,3007,3169
CHESTER,42029,SE,3315,3118,197,19288,22406
CLARION,42031,NW,31,31,0,798,829
CLEARFIELD,42033,NW,55,43,12,1600,1643
CLINTON,42035,NC,64,55,9,1082,1137
COLUMBIA,42037,NC,380,359,21,2021,2380
CRAWFORD,42039,NW,36,29,7,1410,1439
CUMBERLAND,42041,SC,738,706,32,8023,8729
DAUPHIN,42043,SC,1655,1607,48,13717,15324
DELAWARE,42045,SE,6921,6696,225,27983,34679
ELK,42047,NW,6,4,2,422,426
ERIE,42049,NW,468,397,71,7771,8168
FAYETTE,42051,SW,95,91,4,4095,4186
FOREST,42053,NW,7,5,2,120,125
FRANKLIN,42055,SC,843,816,27,6659,7475
FULTON,42057,SC,16,14,2,320,334
GREENE,42059,SW,30,28,2,1032,1060
HUNTINGDON,42061,SC,239,232,7,1145,1377
INDIANA,42063,SW,93,85,8,1770,1855
JEFFERSON,42065,NW,19,16,3,702,718
JUNIATA,42067,SC,108,101,7,507,608
LACKAWANNA,42069,NE,1602,1546,56,8537,10083
LANCASTER,42071,SE,3777,3693,84,21581,25274
LAWRENCE,42073,NW,87,79,8,1940,2019
LEBANON,42075,SC,1190,1149,41,6590,7739
LEHIGH,42077,NE,3957,3917,40,18788,22705
LUZERNE,42079,NE,2835,2786,49,14858,17644
LYCOMING,42081,NC,171,167,4,3014,3181
MCKEAN,42083,NW,13,9,4,931,940
MERCER,42085,NW,115,102,13,2301,2403
MIFFLIN,42087,SC,59,56,3,1673,1729
MONROE,42089,NE,1350,1310,40,8153,9463
MONTGOMERY,42091,SE,7930,7915,15,44948,52863
MONTOUR,42093,NC,65,57,8,3757,3814
NORTHAMPTON,42095,NE,3246,3150,96,18221,21371
NORTHUMBERLAND,42097,NC,228,205,23,2158,2363
PERRY,42099,SC,72,66,6,1102,1168
PHILADELPHIA,42101,SE,20007,19999,8,78929,98928
PIKE,42103,NE,482,457,25,2564,3021
POTTER,42105,NC,13,10,3,210,220
SCHUYLKILL,42107,SE,691,664,27,6372,7036
SNYDER,42109,NC,60,51,9,582,633
SOMERSET,42111,SW,41,31,10,2648,2679
SULLIVAN,42113,NC,3,2,1,129,131
SUSQUEHANNA,42115,NE,171,165,6,1293,1458
TIOGA,42117,NC,20,16,4,828,844
UNION,42119,NC,88,81,7,1675,1756
VENANGO,42121,NW,17,14,3,802,816
WARREN,42123,NW,5,4,1,557,561
WASHINGTON,42125,SW,156,144,12,6003,6147
WAYNE,42127,NE,126,119,7,1548,1667
WESTMORELAND,42129,SW,492,477,15,12906,13383
WYOMING,42131,NE,36,35,1,782,817
YORK,42133,SC,1169,1133,36,17797,18930
