County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,361,348,13,5655,6003,7-8-2020,7-7-2020,168
ALLEGHENY,42003,SW,4209,4028,181,67350,71378,7-8-2020,7-7-2020,2316
ARMSTRONG,42005,SW,79,79,0,2516,2595,7-8-2020,7-7-2020,126
BEAVER,42007,SW,785,763,22,7378,8141,7-8-2020,7-7-2020,451
BEDFORD,42009,SC,90,83,7,1787,1870,7-8-2020,7-7-2020,74
BERKS,42011,SE,4623,4467,156,21116,25583,7-8-2020,7-7-2020,264
BLAIR,42013,SC,90,79,11,6550,6629,7-8-2020,7-7-2020,116
BRADFORD,42015,NC,59,52,7,3860,3912,7-8-2020,7-7-2020,24
BUCKS,42017,SE,5967,5425,542,40515,45940,7-8-2020,7-7-2020,562
BUTLER,42019,SW,390,351,39,7965,8316,7-8-2020,7-7-2020,269
CAMBRIA,42021,SW,110,89,21,9506,9595,7-8-2020,7-7-2020,320
CAMERON,42023,NW,4,4,0,284,288,7-8-2020,7-7-2020,1
CARBON,42025,NE,291,287,4,4587,4874,7-8-2020,7-7-2020,83
CENTRE,42027,NC,232,216,16,5042,5258,7-8-2020,7-7-2020,96
CHESTER,42029,SE,3892,3682,210,30008,33690,7-8-2020,7-7-2020,555
CLARION,42031,NW,49,47,2,1093,1140,7-8-2020,7-7-2020,16
CLEARFIELD,42033,NW,82,63,19,2687,2750,7-8-2020,7-7-2020,67
CLINTON,42035,NC,86,75,11,1508,1583,7-8-2020,7-7-2020,25
COLUMBIA,42037,NC,413,390,23,3424,3814,7-8-2020,7-7-2020,72
CRAWFORD,42039,NW,74,59,15,2926,2985,7-8-2020,7-7-2020,122
CUMBERLAND,42041,SC,912,870,42,12656,13526,7-8-2020,7-7-2020,238
DAUPHIN,42043,SC,2236,2175,61,19593,21768,7-8-2020,7-7-2020,382
DELAWARE,42045,SE,7427,7200,227,40964,48164,7-8-2020,7-7-2020,970
ELK,42047,NW,28,25,3,1289,1314,7-8-2020,7-7-2020,28
ERIE,42049,NW,691,595,96,12664,13259,7-8-2020,7-7-2020,149
FAYETTE,42051,SW,160,155,5,5680,5835,7-8-2020,7-7-2020,190
FOREST,42053,NW,7,5,2,310,315,7-8-2020,7-7-2020,19
FRANKLIN,42055,SC,984,953,31,9276,10229,7-8-2020,7-7-2020,198
FULTON,42057,SC,18,16,2,553,569,7-8-2020,7-7-2020,8
GREENE,42059,SW,52,48,4,1464,1512,7-8-2020,7-7-2020,25
HUNTINGDON,42061,SC,254,247,7,1786,2033,7-8-2020,7-7-2020,33
INDIANA,42063,SW,119,111,8,3655,3766,7-8-2020,7-7-2020,48
JEFFERSON,42065,NW,33,29,4,1319,1348,7-8-2020,7-7-2020,19
JUNIATA,42067,SC,114,107,7,951,1058,7-8-2020,7-7-2020,17
LACKAWANNA,42069,NE,1743,1685,58,12918,14603,7-8-2020,7-7-2020,236
LANCASTER,42071,SE,4673,4572,101,33737,38309,7-8-2020,7-7-2020,850
LAWRENCE,42073,NW,141,120,21,3083,3203,7-8-2020,7-7-2020,92
LEBANON,42075,SC,1399,1342,57,9244,10586,7-8-2020,7-7-2020,132
LEHIGH,42077,NE,4354,4303,51,26736,31039,7-8-2020,7-7-2020,393
