COUNTY,POP,DENSITY,NAME,STATE,county,countyfips
103,55809,102.40925076,Pike County,42,103,42103
109,40372,122.79216121,Snyder County,42,109,42109
115,40328,48.971707315,Susquehanna County,42,115,42115
039,84629,83.600582285,Crawford County,42,039,42039
049,269728,337.55736828,Erie County,42,049,42049
057,14530,33.207529634,Fulton County,42,057,42057
067,24763,63.269337766,Juniata County,42,067,42067
107,141359,181.548044,Schuylkill County,42,107,42107
131,26794,67.438935335,Wyoming County,42,131,42131
001,103009,198.59524445,Adams County,42,001,42001
005,64735,99.105781763,Armstrong County,42,005,42005
035,38632,43.505279213,Clinton County,42,035,42035
025,64182,168.34632481,Carbon County,42,025,42025
027,162385,146.4651832,Centre County,42,027,42027
097,90843,198.34400703,Northumberland County,42,097,42097
095,305285,825.58117284,Northampton County,42,095,42095
023,4447,11.223253065,Cameron County,42,023,42023
121,50668,75.143362613,Venango County,42,121,42121
007,163929,377.09710119,Beaver County,42,007,42007
017,628270,1039.4906596,Bucks County,42,017,42017
069,209674,457.0334112,Lackawanna County,42,069,42069
077,369318,1069.5744582,Lehigh County,42,077,42077
083,40625,41.48873934,McKean County,42,083,42083
051,129274,163.56471524,Fayette County,42,051,42051
031,38438,63.974267484,Clarion County,42,031,42031
091,830915,1720.4403096,Montgomery County,42,091,42091
033,79255,69.237526374,Clearfield County,42,033,42033
059,36233,62.911894676,Greene County,42,059,42059
075,141793,391.89646274,Lebanon County,42,075,42075
081,113299,92.205620026,Lycoming County,42,081,42081
079,317417,356.66195853,Luzerne County,42,079,42079
093,18230,139.9697778,Montour County,42,093,42093
123,39191,44.326762049,Warren County,42,123,42123
037,64964,134.50285088,Columbia County,42,037,42037
019,187853,237.92159069,Butler County,42,019,42019
047,29910,36.150608763,Elk County,42,047,42047
065,43425,66.558315824,Jefferson County,42,065,42065
071,545724,578.1440906,Lancaster County,42,071,42071
085,109424,162.70848002,Mercer County,42,085,42085
099,46272,83.909955336,Perry County,42,099,42099
105,16526,15.28313493,Potter County,42,105,42105
113,6066,13.481806501,Sullivan County,42,113,42113
117,40591,35.801696889,Tioga County,42,117,42117
045,566747,3083.2498462,Delaware County,42,045,42045
127,51361,70.784131107,Wayne County,42,127,42127
043,278299,530.20538373,Dauphin County,42,043,42043
055,155027,200.73439178,Franklin County,42,055,42055
119,44923,142.18097912,Union County,42,119,42119
009,47888,47.306013177,Bedford County,42,009,42009
089,170271,279.9324603,Monroe County,42,089,42089
061,45144,51.613688264,Huntingdon County,42,061,42061
125,206865,241.38631598,Washington County,42,125,42125
101,1584064,11796.782748,Philadelphia County,42,101,42101
133,449058,496.54394588,York County,42,133,42133
063,84073,101.6217853,Indiana County,42,063,42063
041,253370,464.49105414,Cumberland County,42,041,42041
003,1216045,1665.5479101,Allegheny County,42,003,42003
129,348899,339.3825051,Westmoreland County,42,129,42129
053,7247,16.961175813,Forest County,42,053,42053
013,121829,231.70158614,Blair County,42,013,42013
073,85512,239.37776967,Lawrence County,42,073,42073
015,60323,52.573032394,Bradford County,42,015,42015
021,130192,189.13291868,Cambria County,42,021,42021
029,524989,699.4921241,Chester County,42,029,42029
011,421164,491.78051037,Berks County,42,011,42011
111,73447,68.363626408,Somerset County,42,111,42111
087,46138,112.24554929,Mifflin County,42,087,42087
