,numnewcases_leftbin,numnewcases_rightbin,prob,fips
0,0,5,0.0690518281936161,42001.0
1,5,10,0.07883157321261544,42001.0
2,10,15,0.0867541826552895,42001.0
3,15,20,0.09203348866480669,42001.0
4,20,25,0.09411667842758026,42001.0
5,25,30,0.09277961086240248,42001.0
6,30,35,0.08816652979574956,42001.0
7,35,40,0.08076443974926142,42001.0
8,40,45,0.07131844129723684,42001.0
9,45,50,0.06070838774383772,42001.0
10,50,55,0.04981506772512866,42001.0
11,55,60,0.03940377991383066,42001.0
12,60,65,0.03004554844991824,42001.0
13,65,70,0.022084492844870116,42001.0
14,70,75,0.015648031542535863,42001.0
15,75,80,0.010688011730379308,42001.0
16,80,85,0.007037185338566648,42001.0
17,85,90,0.004466484598983036,42001.0
18,90,95,0.0027327342251640555,42001.0
19,95,100,0.0016117347431041473,42001.0
20,100,105,0.0009163349749171505,42001.0
21,105,110,0.0005022030925105316,42001.0
22,110,115,0.0002653192867686568,42001.0
23,115,120,0.00013512088063937332,42001.0
24,120,125,6.63346134973361e-05,42001.0
25,125,130,3.1392211078559796e-05,42001.0
26,130,135,1.4320805504180237e-05,42001.0
27,135,140,6.297623457176329e-06,42001.0
28,140,145,2.6696203006547863e-06,42001.0
29,145,150,1.090901951988171e-06,42001.0
30,150,155,4.297196432104765e-07,42001.0
31,155,160,1.6317281368228333e-07,42001.0
32,160,165,5.972736348054137e-08,42001.0
33,165,170,2.1074712717497187e-08,42001.0
34,170,175,7.1682409227741045e-09,42001.0
35,175,180,2.3503143000680712e-09,42001.0
36,180,185,7.428506402963593e-10,42001.0
37,185,190,2.2632860158045414e-10,42001.0
38,190,195,6.647189289470342e-11,42001.0
39,195,200,1.8819173745861692e-11,42001.0
40,200,205,5.136020579057733e-12,42001.0
41,205,210,1.3511236732221486e-12,42001.0
42,210,215,3.426019639054036e-13,42001.0
43,215,220,8.383832489980535e-14,42001.0
44,220,225,1.9694484152645954e-14,42001.0
45,225,230,4.513319284981365e-15,42001.0
46,230,235,9.573707574202894e-16,42001.0
47,235,240,2.735345021200827e-16,42001.0
48,240,245,0.0,42001.0
49,245,250,0.0,42001.0
50,250,255,0.0,42001.0
51,255,260,0.0,42001.0
52,260,265,0.0,42001.0
53,265,270,0.0,42001.0
54,270,275,0.0,42001.0
55,275,280,0.0,42001.0
56,280,285,0.0,42001.0
57,285,290,0.0,42001.0
58,290,295,0.0,42001.0
59,295,300,0.0,42001.0
60,300,305,0.0,42001.0
61,305,310,0.0,42001.0
62,310,315,0.0,42001.0
63,315,320,0.0,42001.0
64,320,325,0.0,42001.0
65,325,330,0.0,42001.0
66,330,335,0.0,42001.0
67,335,340,0.0,42001.0
68,340,345,0.0,42001.0
69,345,350,0.0,42001.0
70,350,355,0.0,42001.0
71,355,360,0.0,42001.0
72,360,365,0.0,42001.0
73,365,370,0.0,42001.0
74,370,375,0.0,42001.0
75,375,380,0.0,42001.0
76,380,385,0.0,42001.0
77,385,390,0.0,42001.0
78,390,395,0.0,42001.0
79,395,400,0.0,42001.0
80,400,405,0.0,42001.0
81,405,410,0.0,42001.0
82,410,415,0.0,42001.0
83,415,420,0.0,42001.0
84,420,425,0.0,42001.0
85,425,430,0.0,42001.0
86,430,435,0.0,42001.0
87,435,440,0.0,42001.0
88,440,445,0.0,42001.0
89,445,450,0.0,42001.0
90,450,455,0.0,42001.0
91,455,460,0.0,42001.0
92,460,465,0.0,42001.0
93,465,470,0.0,42001.0
94,470,475,0.0,42001.0
95,475,480,0.0,42001.0
96,480,485,0.0,42001.0
97,485,490,0.0,42001.0
98,490,495,0.0,42001.0
99,495,500,0.0,42001.0
100,500,505,0.0,42001.0
101,505,510,0.0,42001.0
102,510,515,0.0,42001.0
103,515,520,0.0,42001.0
104,520,525,0.0,42001.0
105,525,530,0.0,42001.0
106,530,535,0.0,42001.0
107,535,540,0.0,42001.0
