modelname,fips,weekahead,prob,score,trainingweek
theScienceDogs,42001,1,0.046842973,-3.06095428,202020
theScienceDogs,42001,2,0.005974623,-5.120234238,202020
theScienceDogs,42001,3,0.172156658,-1.759350415,202020
theScienceDogs,42001,4,0.168248454,-1.782313502,202020
theScienceDogs,42063,1,0.29501209,-1.220738942,202020
theScienceDogs,42063,2,0.305721605,-1.185080377,202020
theScienceDogs,42063,3,0.299044361,-1.207163351,202020
theScienceDogs,42063,4,0.295244547,-1.219951294,202020
theScienceDogs,42061,1,0,#NAME?,202020
theScienceDogs,42061,2,0,#NAME?,202020
theScienceDogs,42061,3,,,202020
theScienceDogs,42061,4,,,202020
theScienceDogs,42059,1,0.89904933,-0.106417374,202020
theScienceDogs,42059,2,0.840273354,-0.174028019,202020
theScienceDogs,42059,3,0.8198264,-0.198662669,202020
theScienceDogs,42059,4,0.813218231,-0.206755778,202020
theScienceDogs,42057,1,,,202020
theScienceDogs,42057,2,,,202020
theScienceDogs,42057,3,,,202020
theScienceDogs,42057,4,,,202020
theScienceDogs,42055,1,0,#NAME?,202020
theScienceDogs,42055,2,0,#NAME?,202020
theScienceDogs,42055,3,0,#NAME?,202020
theScienceDogs,42055,4,0,#NAME?,202020
theScienceDogs,42053,1,,,202020
theScienceDogs,42053,2,,,202020
theScienceDogs,42053,3,,,202020
theScienceDogs,42053,4,,,202020
theScienceDogs,42051,1,0.44353172,-0.812985958,202020
theScienceDogs,42051,2,0.353207106,-1.040700693,202020
theScienceDogs,42051,3,0.339628622,-1.079902547,202020
theScienceDogs,42051,4,0.317260418,-1.148032334,202020
theScienceDogs,42049,1,0.00246,-6.007593929,202020
theScienceDogs,42049,2,0,#NAME?,202020
theScienceDogs,42049,3,0.003541062,-5.643328507,202020
theScienceDogs,42049,4,0,#NAME?,202020
theScienceDogs,42047,1,,,202020
theScienceDogs,42047,2,,,202020
theScienceDogs,42047,3,,,202020
theScienceDogs,42047,4,,,202020
theScienceDogs,42045,3,0.010989011,-4.510859507,202020
theScienceDogs,42045,4,0.002894356,-5.844992643,202020
theScienceDogs,42043,1,0.00148,-6.515713191,202020
theScienceDogs,42043,2,0.00024,-8.334871635,202020
theScienceDogs,42043,3,0.01538,-4.174687315,202020
theScienceDogs,42043,4,0.00446,-5.412606513,202020
theScienceDogs,42041,1,0.021340487,-3.847149219,202020
theScienceDogs,42041,2,0.075791558,-2.579768364,202020
theScienceDogs,42041,3,0.064098109,-2.747340411,202020
theScienceDogs,42041,4,0.055504948,-2.891283108,202020
theScienceDogs,42039,1,0.929097683,-0.073541397,202020
theScienceDogs,42039,2,0.916787709,-0.086879339,202020
theScienceDogs,42039,3,0.082200486,-2.498594061,202020
theScienceDogs,42039,4,0.919943392,-0.083443142,202020
theScienceDogs,42037,1,0.059863122,-2.815694618,202020
theScienceDogs,42037,2,0.054765932,-2.904686953,202020
theScienceDogs,42037,3,0.047212149,-3.053104032,202020
theScienceDogs,42037,4,0.070827085,-2.647513795,202020
theScienceDogs,42065,1,,,202020
theScienceDogs,42065,2,,,202020
theScienceDogs,42065,3,,,202020
theScienceDogs,42065,4,,,202020
theScienceDogs,42035,1,0.366685253,-1.00325142,202020
theScienceDogs,42035,2,0.455988742,-0.785287159,202020
theScienceDogs,42035,3,0.420305777,-0.866772793,202020
theScienceDogs,42035,4,0.486017607,-0.721510426,202020
theScienceDogs,42031,1,0.929106789,-0.073531596,202020
theScienceDogs,42031,2,0.888995271,-0.117663363,202020
theScienceDogs,42031,4,0.871723369,-0.137283143,202020
theScienceDogs,42029,1,0.044383551,-3.114886358,202020
theScienceDogs,42029,2,0.01437719,-4.24211237,202020
theScienceDogs,42029,3,0.021459763,-3.841575588,202020
theScienceDogs,42029,4,0.021596657,-3.835216738,202020
theScienceDogs,42027,1,0.209416668,-1.563429383,202020
theScienceDogs,42027,2,0.216708041,-1.529204267,202020
theScienceDogs,42027,3,0.179239524,-1.719032246,202020
theScienceDogs,42027,4,0.133030601,-2.017176092,202020
theScienceDogs,42025,1,0.191659035,-1.652037347,202020
theScienceDogs,42025,2,0.162654583,-1.816126448,202020
theScienceDogs,42025,3,0.137640517,-1.983109941,202020
theScienceDogs,42025,4,0.143995929,-1.937970248,202020
theScienceDogs,42023,1,,,202020
theScienceDogs,42023,2,,,202020
theScienceDogs,42023,3,,,202020
theScienceDogs,42023,4,,,202020
theScienceDogs,42021,1,0.51728,-0.659170965,202020
theScienceDogs,42021,2,0.02650159,-3.630550544,202020
theScienceDogs,42021,3,0.046386904,-3.070738092,202020
theScienceDogs,42021,4,0.063416687,-2.758028255,202020
theScienceDogs,42019,1,0.159176072,-1.837744318,202020
theScienceDogs,42019,2,0.162305767,-1.818273273,202020
theScienceDogs,42019,3,0.152992708,-1.87736502,202020
theScienceDogs,42019,4,0.148322915,-1.908363525,202020
theScienceDogs,42017,2,0.035552683,-3.336739665,202020
theScienceDogs,42017,3,0.00054615,-7.512617545,202020
theScienceDogs,42017,4,0.001066667,-6.843216758,202020
theScienceDogs,42015,1,0.894377461,-0.111627377,202020
theScienceDogs,42015,2,0.826243094,-0.190866246,202020
theScienceDogs,42015,3,0.794577753,-0.229944434,202020
theScienceDogs,42015,4,0.775221239,-0.254606821,202020
theScienceDogs,42013,1,0.247336409,-1.397005891,202020
theScienceDogs,42013,2,0.00036593,-7.913069089,202020
theScienceDogs,42013,3,0.846083525,-0.167137195,202020
theScienceDogs,42013,4,0.861930692,-0.148580415,202020
theScienceDogs,42011,1,0.018897493,-3.968726031,202020
theScienceDogs,42011,2,0.007791107,-4.854772317,202020
