modelname,fips,weekahead,prob,score,trainingweek
theScienceDogs,42001.0,1,0.04637745255709227,-3.0709418741247823,202020
theScienceDogs,42001.0,2,0.006446182587095267,-5.044267170346979,202020
theScienceDogs,42001.0,3,0.17062919515714198,-1.7682625263436036,202020
theScienceDogs,42001.0,4,0.16779675382463868,-1.785001830638907,202020
theScienceDogs,42063.0,1,0.2921679229271701,-1.230426563490432,202020
theScienceDogs,42063.0,2,0.29999201511804313,-1.203999420953345,202020
theScienceDogs,42063.0,3,0.2946179473983585,-1.2220758555656512,202020
theScienceDogs,42063.0,4,0.29886616394509846,-1.207759418023457,202020
theScienceDogs,42061.0,1,0.0,-inf,202020
theScienceDogs,42061.0,2,0.0,-inf,202020
theScienceDogs,42061.0,3,,,202020
theScienceDogs,42061.0,4,,,202020
theScienceDogs,42059.0,1,0.9004016064257029,-0.104914385826648,202020
theScienceDogs,42059.0,2,0.8412891632611658,-0.17281984545309834,202020
theScienceDogs,42059.0,3,0.8229894120297363,-0.19481194347927366,202020
theScienceDogs,42059.0,4,0.8141457865090597,-0.20561583011041232,202020
theScienceDogs,42057.0,1,,,202020
theScienceDogs,42057.0,2,,,202020
theScienceDogs,42057.0,3,,,202020
theScienceDogs,42057.0,4,,,202020
theScienceDogs,42055.0,1,2e-05,-10.819778284410283,202020
theScienceDogs,42055.0,2,0.0,-inf,202020
theScienceDogs,42055.0,3,0.0,-inf,202020
theScienceDogs,42055.0,4,0.0,-inf,202020
theScienceDogs,42053.0,1,,,202020
theScienceDogs,42053.0,2,,,202020
theScienceDogs,42053.0,3,,,202020
theScienceDogs,42053.0,4,,,202020
theScienceDogs,42051.0,1,0.45426364734934066,-0.7890775284602068,202020
theScienceDogs,42051.0,2,0.35588691144246704,-1.0331422630836098,202020
theScienceDogs,42051.0,3,0.34013281477365925,-1.078419105961391,202020
theScienceDogs,42051.0,4,0.3220812049081047,-1.132951576076464,202020
theScienceDogs,42049.0,1,0.00252,-5.983496377458805,202020
theScienceDogs,42049.0,2,0.0,-inf,202020
theScienceDogs,42049.0,3,0.003340668133626735,-5.7015844519908585,202020
theScienceDogs,42049.0,4,0.0,-inf,202020
theScienceDogs,42047.0,1,,,202020
theScienceDogs,42047.0,2,,,202020
theScienceDogs,42047.0,3,,,202020
theScienceDogs,42047.0,4,,,202020
theScienceDogs,42045.0,3,0.006585136406396996,-5.022940229286633,202020
theScienceDogs,42045.0,4,0.0007374631268436597,-7.212294468500338,202020
theScienceDogs,42043.0,1,0.0010400000000000001,-6.868534565828855,202020
theScienceDogs,42043.0,2,0.00018,-8.622553707074063,202020
